seendate,title,url,sourcecountry,language
20260207T044500Z,Nasa confirma primeiro voo para estao espacial após retorno de tripulao por emergência médica,https://oglobo.globo.com/mundo/clima-e-ciencia/noticia/2026/02/06/nasa-confirma-primeiro-voo-para-estacao-espacial-apos-retorno-de-tripulacao-por-emergencia-medica.ghtml,Brazil,Portuguese
20260207T041500Z,Raumfahrt - SpaceX - Rakete kann doch wie geplant zur ISS starten,https://www.deutschlandfunk.de/spacex-rakete-kann-doch-wie-geplant-zur-iss-starten-100.html,Germany,German
20260207T041500Z,"Punya Harta Rp14 . 000 Triliun , Elon Musk : Uang Tak Bisa Beli Kebahagiaan",https://entrepreneur.bisnis.com/read/20260207/265/1950524/punya-harta-rp14000-triliun-elon-musk-uang-tak-bisa-beli-kebahagiaan,Indonesia,Indonesian
20260207T041500Z,SpaceX Prioritizes Moon Mission Before Mars as Starship Development Accelerates,http://www.econotimes.com/SpaceX-Prioritizes-Moon-Mission-Before-Mars-as-Starship-Development-Accelerates-1733039,United States,English
